Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Lang,50b,12,8,0.666667,2,,
Lang,52b,1,0,0.0,0,,
Lang,20b,2,0,0.0,2,,
Lang,54b,1,0,0.0,1,False,False
Lang,55b,2,2,1.0,1,True,True
Lang,56b,3,0,0.0,1,False,False
Lang,57b,1,0,0.0,0,False,False
Lang,53b,4,0,0.0,1,False,False
Lang,51b,1,0,0.0,1,False,False
Lang,60b,2,0,0.0,0,False,False
Lang,58b,1,0,0.0,1,False,False
Lang,62b,4,0,0.0,6,False,False
Lang,63b,21,0,0.0,1,False,False
Lang,64b,5,0,0.0,1,False,False
Lang,65b,8,2,0.25,1,False,True
Lang,39b,1,0,0.0,0,False,False
Lang,48b,2,1,0.5,1,False,True
Lang,47b,2,0,0.0,2,False,False
Lang,59b,1,0,0.0,1,False,False
Lang,61b,1,0,0.0,2,False,False
Math,2b,1,0,0.0,0,False,False
Math,1b,2,0,0.0,2,False,False
Math,4b,2,0,0.0,2,False,False
Math,5b,1,0,0.0,1,False,False
Math,6b,17,0,0.0,26,False,False
Math,8b,2,0,0.0,1,False,False
Math,12b,3,0,0.0,0,False,False
Math,9b,1,0,0.0,1,False,False
Math,14b,6,0,0.0,1,False,False
Math,3b,2,0,0.0,1,False,False
Math,29b,5,0,0.0,0,False,False
Math,25b,1,0,0.0,0,False,False
Math,19b,1,0,0.0,1,False,False
Math,24b,2,0,0.0,0,False,False
Math,30b,1,1,1.0,1,True,True
Math,23b,4,0,0.0,0,False,False
Math,20b,1,0,0.0,0,False,False
Math,35b,2,0,0.0,0,False,False
Math,34b,1,0,0.0,0,False,False
Math,10b,1,0,0.0,1,False,False
Math,22b,2,0,0.0,0,False,False
Math,33b,1,0,0.0,1,False,False
Math,32b,1,0,0.0,1,False,False
Math,11b,1,0,0.0,1,False,False
Math,17b,2,0,0.0,1,False,False
Math,38b,4,0,0.0,1,False,False
Math,18b,5,0,0.0,1,False,False
Math,36b,4,0,0.0,2,False,False
Math,26b,2,0,0.0,1,False,False
Math,27b,1,0,0.0,1,False,False
Math,40b,2,0,0.0,1,False,False
Math,21b,11,9,0.818182,2,False,True
Math,42b,2,1,0.5,1,False,True
Math,39b,1,0,0.0,0,False,False
Math,41b,1,0,0.0,0,False,False
Math,44b,3,0,0.0,1,False,False
Math,48b,1,0,0.0,1,False,False
Math,49b,4,0,0.0,1,False,False
Math,43b,3,0,0.0,3,False,False
Math,45b,1,0,0.0,0,False,False
Math,50b,4,0,0.0,0,False,False
Math,51b,1,0,0.0,1,False,False
Math,52b,3,0,0.0,1,False,False
Math,55b,5,1,0.2,1,False,True
Math,54b,2,0,0.0,1,False,False
Math,57b,1,0,0.0,1,False,False
Math,58b,1,0,0.0,1,False,False
Math,56b,7,0,0.0,1,False,False
Math,28b,3,0,0.0,1,False,False
Math,60b,9,0,0.0,0,False,False
Math,61b,2,0,0.0,1,False,False
Math,62b,4,0,0.0,1,False,False
Math,31b,32,0,0.0,1,False,False
Math,64b,13,0,0.0,2,False,False
Math,66b,21,9,0.428571,3,False,True
Math,67b,2,0,0.0,1,False,False
Math,68b,6,0,0.0,2,False,False
Math,69b,1,0,0.0,1,False,False
Math,37b,4,0,0.0,4,False,False
Math,71b,2,0,0.0,2,False,False
Math,47b,5,0,0.0,2,False,False
Math,46b,2,0,0.0,2,False,False
Math,70b,1,0,0.0,1,False,False
Math,75b,1,0,0.0,0,False,False
Math,72b,2,1,0.5,1,False,True
Math,73b,1,0,0.0,1,False,False
Math,76b,12,1,0.083333,2,False,True
Math,13b,2,0,0.0,1,False,False
Math,16b,9,0,0.0,2,False,False
Math,59b,1,0,0.0,1,False,False
Math,78b,1,1,1.0,1,True,True
Math,81b,4,0,0.0,1,False,False
Math,77b,10,0,0.0,0,False,False
Math,80b,1,0,0.0,1,False,False
Math,84b,3,0,0.0,2,False,False
Math,85b,1,0,0.0,1,False,False
Math,79b,2,0,0.0,1,False,False
Math,86b,4,0,0.0,0,False,False
Math,53b,1,1,1.0,1,True,True
Math,89b,2,0,0.0,1,False,False
Math,90b,2,0,0.0,1,False,False
Math,91b,2,0,0.0,1,False,False
Math,92b,15,0,0.0,1,False,False
Math,65b,7,0,0.0,1,False,False
Math,74b,4,0,0.0,1,False,False
Math,95b,3,0,0.0,1,False,False
Math,93b,4,0,0.0,1,False,False
Math,97b,2,0,0.0,0,False,False
Math,96b,1,0,0.0,1,False,False
Math,82b,1,0,0.0,1,False,False
Math,83b,3,0,0.0,1,False,False
Math,102b,3,0,0.0,0,False,False
Math,88b,8,0,0.0,1,False,False
Math,98b,2,0,0.0,2,False,False
Math,103b,2,0,0.0,1,False,False
Math,105b,1,1,1.0,1,True,True
Math,106b,4,0,0.0,1,False,False
Math,87b,4,2,0.5,1,False,True
Math,104b,1,0,0.0,1,False,False
Math,100b,3,0,0.0,0,False,False
Math,94b,1,1,1.0,1,True,True
Math,99b,2,0,0.0,0,False,False
Math,15b,2,0,0.0,1,False,False
Math,63b,1,0,0.0,1,False,False
Compress,1b,1,0,0.0,1,False,False
Compress,7b,2,0,0.0,1,False,False
Compress,8b,11,0,0.0,1,False,False
Compress,2b,16,0,0.0,1,False,False
Compress,6b,4,0,0.0,1,False,False
Compress,3b,4,0,0.0,1,False,False
Compress,10b,2,0,0.0,1,False,False
Compress,4b,4,0,0.0,10,False,False
Compress,5b,2,0,0.0,0,False,False
Compress,9b,3,0,0.0,1,False,False
Compress,14b,8,0,0.0,1,False,False
Compress,15b,6,0,0.0,1,False,False
Compress,11b,2,0,0.0,1,False,False
Compress,17b,1,1,1.0,1,True,True
Compress,21b,3,0,0.0,8,False,False
Compress,16b,2,0,0.0,1,False,False
Compress,23b,1,0,0.0,1,False,False
Compress,18b,2,0,0.0,1,False,False
Compress,13b,1,0,0.0,2,False,False
Compress,12b,1,0,0.0,1,False,False
Compress,20b,6,0,0.0,1,False,False
Compress,24b,8,0,0.0,1,False,False
Compress,27b,3,0,0.0,0,False,False
Compress,19b,1,0,0.0,1,False,False
Compress,25b,1,0,0.0,0,False,False
Compress,26b,1,0,0.0,2,False,False
Compress,28b,3,0,0.0,0,False,False
Compress,31b,3,0,0.0,2,False,False
Compress,29b,16,7,0.4375,3,False,True
Compress,33b,3,0,0.0,0,False,False
Compress,34b,2,0,0.0,1,False,False
Compress,36b,1,0,0.0,1,False,False
Compress,35b,6,0,0.0,1,False,False
Compress,40b,5,0,0.0,0,False,False
Compress,30b,1,0,0.0,1,False,False
Compress,32b,2,0,0.0,1,False,False
Compress,38b,1,0,0.0,1,False,False
Compress,39b,2,1,0.5,1,False,True
Compress,44b,2,0,0.0,0,False,False
Compress,22b,17,0,0.0,1,False,False
Compress,45b,2,0,0.0,1,False,False
Compress,46b,2,0,0.0,1,False,False
Compress,43b,5,0,0.0,0,False,False
Compress,42b,2,0,0.0,1,False,False
Compress,47b,3,0,0.0,1,False,False
Compress,41b,2,0,0.0,2,False,False
Compress,37b,1,0,0.0,1,False,False
